단행|단행
111|수서대상||1|1
1110|희망자료관리||2|1
112||||2
1120|반입자료관리||2|1
113||||3
1130|재활용자료관리||2|1
121|구입||1|1
1210|구입자료관리||2|1
122||||2
1220|검수자료관리||2|1
123||||3
1230|구입자료출력||2|1
124||||4
1240|통계||2|1
131|기증||1|1
1310|기증자료관리||2|1
132||||3
1320|기증자료출력||2|1
133||||2
1330|통계||2|1
134||||4
1340|기증자관리||2|1
135||||5
1350|미등록자료관리||2|1
141|등록||1|1
1410|등록자료관리|등록자료관리|3|1
1411|EPC일괄부여|등록자료관리|3|2
142||||2
1420|원부대장관리||2|1
151|정리||1|1
1510|목록완성||2|1
152||||2
1520|장비출력||2|1
161|열람||1|1
1610|배가일자기록||2|1
162||||2
1620|센터업로드||2|1
163||||3
1630|배가자료관리||2|1
164||||4
1640|장서점검||2|1
165||||5
1650|작업종 통계|통계|3|1
1651|소장종 통계|통계|3|2
1652|자산 통계|통계|3|3
